Sales Person,Country,Product,Date,Amount,Boxes Shipped
Jehu Rudeforth,UK,Mint Chip Choco,2022-01-04,5320,180
Van Tuxwell,India,85% Dark Bars,2022-08-01,7896,94
Gigi Bohling,India,Peanut Butter Cubes,2022-07-07,4501,91
Jan Morforth,Australia,Peanut Butter Cubes,2022-04-27,12726,342
Jehu Rudeforth,UK,Peanut Butter Cubes,2022-02-24,13685,184
Van Tuxwell,India,Smooth Sliky Salty,2022-06-06,5376,38
Oby Sorrel,UK,99% Dark & Pure,2022-01-25,13685,176
Gunar Cockshoot,Australia,After Nines,2022-03-24,3080,73
Jehu Rudeforth,New Zealand,50% Dark Bites,2022-04-20,3990,59
Brien Boise,Australia,99% Dark & Pure,2022-07-04,2835,102
Rafaelita Blaksland,UK,Smooth Sliky Salty,2022-01-13,4704,62
Barr Faughny,USA,Orange Choco,2022-03-10,3703,11
Mallorie Waber,Canada,Eclairs,2022-01-13,1442,286
Karlen McCaffrey,New Zealand,Drinking Coco,2022-07-28,168,156
Marney O'Breen,New Zealand,Peanut Butter Cubes,2022-08-03,8379,173
Beverie Moffet,Australia,Organic Choco Syrup,2022-01-26,6790,356
Van Tuxwell,Canada,Organic Choco Syrup,2022-02-14,4067,42
Roddy Speechley,USA,Smooth Sliky Salty,2022-04-05,3017,140
Beverie Moffet,Canada,Milk Bars,2022-02-16,8799,250
Curtice Advani,UK,85% Dark Bars,2022-06-08,1085,172
Brien Boise,Australia,Eclairs,2022-06-27,6888,88
Gunar Cockshoot,USA,Spicy Special Slims,2022-02-17,1267,157
Marney O'Breen,USA,After Nines,2022-05-30,4753,163
Husein Augar,UK,Drinking Coco,2022-03-14,3003,113
Kaine Padly,Australia,Eclairs,2022-02-28,7672,115
Karlen McCaffrey,India,Fruit & Nut Bars,2022-01-26,168,321
Roddy Speechley,Canada,Spicy Special Slims,2022-02-09,1652,186
Husein Augar,USA,Eclairs,2022-07-07,4025,112
Dennison Crosswaite,New Zealand,White Choc,2022-07-05,9492,151
Dennison Crosswaite,New Zealand,Manuka Honey Choco,2022-06-15,5061,301
Van Tuxwell,New Zealand,85% Dark Bars,2022-05-24,1722,121
Rafaelita Blaksland,UK,99% Dark & Pure,2022-06-29,12446,150
Wilone O'Kielt,Australia,Manuka Honey Choco,2022-05-11,4284,94
Karlen McCaffrey,UK,Almond Choco,2022-06-30,6839,133
Andria Kimpton,Canada,After Nines,2022-05-11,2163,70
Roddy Speechley,USA,Manuka Honey Choco,2022-07-22,9583,315
Andria Kimpton,UK,50% Dark Bites,2022-08-24,2653,314
Kelci Walkden,New Zealand,After Nines,2022-07-07,147,72
Camilla Castle,Australia,85% Dark Bars,2022-05-19,3654,14
Karlen McCaffrey,India,Manuka Honey Choco,2022-07-04,2443,581
Kelci Walkden,USA,After Nines,2022-06-02,938,16
Karlen McCaffrey,USA,Raspberry Choco,2022-04-15,14749,354
Mallorie Waber,Canada,Choco Coated Almonds,2022-07-11,4781,241
Andria Kimpton,India,Spicy Special Slims,2022-02-23,6307,142
Madelene Upcott,Canada,Almond Choco,2022-08-22,7602,102
Kaine Padly,USA,Peanut Butter Cubes,2022-02-16,6790,188
Van Tuxwell,USA,50% Dark Bites,2022-01-13,9737,160
Curtice Advani,Australia,Milk Bars,2022-02-14,6979,18
Roddy Speechley,India,Eclairs,2022-06-10,4382,303
Curtice Advani,India,Fruit & Nut Bars,2022-07-07,5243,176
Curtice Advani,Canada,Almond Choco,2022-03-24,4865,70
Brien Boise,Australia,Fruit & Nut Bars,2022-06-06,8575,23
Dotty Strutley,Australia,Drinking Coco,2022-07-19,91,135
Beverie Moffet,USA,Raspberry Choco,2022-04-19,14798,83
Marney O'Breen,India,85% Dark Bars,2022-07-19,2205,179
Jehu Rudeforth,Canada,Drinking Coco,2022-07-15,441,24
Ches Bonnell,New Zealand,Spicy Special Slims,2022-02-14,3556,18
Brien Boise,Canada,99% Dark & Pure,2022-05-18,16793,416
Barr Faughny,Australia,Fruit & Nut Bars,2022-06-30,15421,55
Andria Kimpton,Australia,50% Dark Bites,2022-06-02,4438,227
Andria Kimpton,Australia,Drinking Coco,2022-06-28,1603,48
Marney O'Breen,Australia,Organic Choco Syrup,2022-05-16,273,174
Kelci Walkden,Canada,Baker's Choco Chips,2022-05-26,3073,302
Karlen McCaffrey,India,Almond Choco,2022-07-06,6090,149
Oby Sorrel,India,99% Dark & Pure,2022-05-27,10255,11
Wilone O'Kielt,Australia,Caramel Stuffed Bars,2022-04-14,2030,11
Van Tuxwell,Australia,Organic Choco Syrup,2022-08-10,19453,14
Camilla Castle,India,50% Dark Bites,2022-07-04,9275,411
Oby Sorrel,India,Organic Choco Syrup,2022-07-08,6181,56
Jan Morforth,USA,Peanut Butter Cubes,2022-07-22,9037,102
Gigi Bohling,USA,Choco Coated Almonds,2022-03-02,12313,103
Gigi Bohling,UK,Almond Choco,2022-01-10,5642,9
Jehu Rudeforth,New Zealand,White Choc,2022-03-11,2800,241
Andria Kimpton,New Zealand,Peanut Butter Cubes,2022-06-20,959,265
Van Tuxwell,UK,Organic Choco Syrup,2022-08-26,2002,214
Roddy Speechley,Canada,Milk Bars,2022-07-13,609,32
Camilla Castle,USA,Spicy Special Slims,2022-02-11,1274,244
Marney O'Breen,USA,Orange Choco,2022-01-27,7595,181
Van Tuxwell,UK,99% Dark & Pure,2022-01-31,4725,137
Camilla Castle,USA,White Choc,2022-08-18,9681,24
Andria Kimpton,USA,Raspberry Choco,2022-06-30,14504,21
Dotty Strutley,Australia,Fruit & Nut Bars,2022-08-23,280,311
Brien Boise,New Zealand,Mint Chip Choco,2022-08-01,63,181
Roddy Speechley,New Zealand,After Nines,2022-05-25,8001,10
Roddy Speechley,Canada,Organic Choco Syrup,2022-01-10,4032,82
Dennison Crosswaite,Australia,70% Dark Bites,2022-02-07,5859,108
Karlen McCaffrey,USA,Orange Choco,2022-05-12,11095,401
Madelene Upcott,Australia,Spicy Special Slims,2022-03-07,7182,408
Dennison Crosswaite,Australia,85% Dark Bars,2022-04-05,6881,420
Andria Kimpton,Canada,Caramel Stuffed Bars,2022-01-03,7154,348
Dennison Crosswaite,UK,Eclairs,2022-03-24,6188,270
Madelene Upcott,India,Raspberry Choco,2022-07-07,4221,9
Van Tuxwell,USA,After Nines,2022-07-26,630,264
Wilone O'Kielt,Australia,Organic Choco Syrup,2022-07-07,1743,111
Karlen McCaffrey,Canada,50% Dark Bites,2022-07-15,2919,65
Roddy Speechley,New Zealand,Orange Choco,2022-04-01,49,97
Beverie Moffet,Australia,Eclairs,2022-06-20,1827,6
Kelci Walkden,UK,Fruit & Nut Bars,2022-06-29,13006,482
Marney O'Breen,USA,50% Dark Bites,2022-06-15,1064,106
Husein Augar,USA,After Nines,2022-04-08,11571,180
Dennison Crosswaite,Australia,Raspberry Choco,2022-03-14,5740,31
Andria Kimpton,USA,Fruit & Nut Bars,2022-07-15,1456,359
Kelci Walkden,India,Eclairs,2022-04-19,5334,80
Marney O'Breen,USA,99% Dark & Pure,2022-03-28,4151,296
Brien Boise,Canada,Spicy Special Slims,2022-03-04,8106,101
Karlen McCaffrey,New Zealand,70% Dark Bites,2022-08-02,126,40
Husein Augar,UK,Spicy Special Slims,2022-08-25,4697,42
Marney O'Breen,USA,Almond Choco,2022-02-25,7798,167
Kelci Walkden,India,Orange Choco,2022-06-07,9408,138
Jan Morforth,India,Spicy Special Slims,2022-04-12,1939,520
Ches Bonnell,India,Spicy Special Slims,2022-07-06,10906,94
Kelci Walkden,UK,Smooth Sliky Salty,2022-01-19,5929,175
Madelene Upcott,Australia,Fruit & Nut Bars,2022-01-05,5579,92
Madelene Upcott,Canada,70% Dark Bites,2022-01-24,10927,141
Wilone O'Kielt,Australia,Drinking Coco,2022-04-06,623,283
Gunar Cockshoot,Australia,Fruit & Nut Bars,2022-06-15,6013,21
Gigi Bohling,Canada,Baker's Choco Chips,2022-01-28,1505,47
Kelci Walkden,India,Caramel Stuffed Bars,2022-03-16,476,125
Rafaelita Blaksland,Australia,Drinking Coco,2022-02-21,11550,396
Kelci Walkden,USA,Manuka Honey Choco,2022-02-16,17318,87
Jehu Rudeforth,Canada,Spicy Special Slims,2022-01-13,1848,27
Kelci Walkden,Australia,Eclairs,2022-03-23,7273,547
Curtice Advani,Canada,Spicy Special Slims,2022-06-16,854,118
Oby Sorrel,India,Raspberry Choco,2022-04-14,6832,46
Kelci Walkden,UK,Eclairs,2022-01-25,4606,57
Jan Morforth,India,Almond Choco,2022-03-11,4466,22
Dotty Strutley,UK,Almond Choco,2022-07-28,16114,96
Marney O'Breen,New Zealand,After Nines,2022-03-09,1561,44
Husein Augar,Australia,Orange Choco,2022-06-28,8897,188
Marney O'Breen,Australia,Milk Bars,2022-07-28,2464,387
Kelci Walkden,Canada,99% Dark & Pure,2022-08-15,4830,50
Kaine Padly,Australia,Manuka Honey Choco,2022-01-12,2765,264
Beverie Moffet,New Zealand,White Choc,2022-03-24,7126,7
Van Tuxwell,UK,Milk Bars,2022-07-25,4263,90
